lambda / nm,s*
405.6,0.001
415.5,0.002
426.3,0.005
436.2,0.018
445.6,0.030
455.8,0.047
466.7,0.076
476.5,0.121
486.1,0.177
496.2,0.267
505.7,0.421
516.4,0.639
524.8,0.787
536.5,0.926
545.4,0.980
556.1,1.000
564.5,0.978
576.2,0.901
585.9,0.804
595.0,0.691
605.3,0.564
614.3,0.448
624.8,0.324
635.4,0.214
644.7,0.139
655.3,0.081
670.0,0.035
685.4,0.013
704.5,0.003
729.1,0.001
